"","upper.mb","lower.mb","upper.pw","lower.pw","est","sd","type","delta","rate","lower.emp","upper.emp"
"1",2.07540053335332,1.83631602858326,2.06238328574568,1.8493332761909,1.86252458413812,0.00249036471227207,"PI",1,2,1.85764346930207,1.86740569897417
"2",2.08262375749485,1.83914907064269,2.06973214715104,1.8520406809865,1.88855637428663,0.00227005483428011,"PI",1.28571428571429,2,1.88410706681144,1.89300568176182
"3",2.10672334573194,1.85597854966528,2.09419039629114,1.86851149910607,1.90591104778388,0.00174721526890379,"PI",1.57142857142857,2,1.90248650585683,1.90933558971093
"4",2.11317051550371,1.85377106842355,2.10110439051132,1.86583719341593,1.91772848094684,0.00146183437216224,"PI",1.85714285714286,2,1.91486328557741,1.92059367631628
"5",2.11551786228262,1.84106316519577,2.10394466882575,1.85263635865264,1.92664256224263,0.00139747441343953,"PI",2.14285714285714,2,1.92390351239229,1.92938161209298
"6",2.13341622297113,1.83700262013293,2.12356218444594,1.84685665865812,1.93332105008672,0.00116455802465058,"PI",2.42857142857143,2,1.93103851635841,1.93560358381504
"7",2.13087561601212,1.81769994818058,2.12171199495618,1.82686356923652,1.93827329091983,0.000942806882530452,"PI",2.71428571428571,2,1.93642538943007,1.94012119240959
"8",2.15564259252599,1.80826256011903,2.14833212363265,1.81557302901238,1.94243365328008,0.000959742240748825,"PI",3,2,1.94055255848821,1.94431474807195
"9",2.19666926617125,1.80265801303074,2.193475402877,1.80585187632499,1.94586565581372,0.000904832035529693,"PI",3.28571428571429,2,1.94409218502408,1.94763912660335
"10",2.1950908751938,1.74439545692589,2.19608297116622,1.74340336095347,1.94864047612454,0.000705206467808855,"PI",3.57142857142857,2,1.94725827144764,1.95002268080145
"11",2.22824704753483,1.7419739977338,2.23228830613545,1.73793273913318,1.95067235264525,0.000745366945273255,"PI",3.85714285714286,2,1.94921143343251,1.95213327185798
"12",2.27282961331916,1.68317337259201,2.28797352860037,1.6680294573108,1.95239141598213,0.000665953158046376,"PI",4.14285714285714,2,1.95108614779236,1.9536966841719
"13",2.3274932775874,1.62587137779604,2.36783771278846,1.58552694259498,1.95379708639751,0.000799166931518443,"PI",4.42857142857143,2,1.95223071921174,1.95536345358329
"14",2.40033660942342,1.54775907174619,2.46450240238503,1.48359327878457,1.9550851080328,0.00066760506693943,"PI",4.71428571428571,2,1.9537766021016,1.956393613964
"15",2.42895823166685,1.46793223492199,2.52095106285224,1.3759394037366,1.95620863965401,0.000630068643455726,"PI",5,2,1.95497370511284,1.95744357419518
"16",2.00524807245561,1.76373371928826,1.99343231132366,1.77554948042021,1.60141239344924,0.00579361583780015,"PI",1,3,1.59005690640715,1.61276788049133
"17",2.02044224332475,1.77421433487015,2.00870424719387,1.78595233100103,1.65617531693878,0.00478583599771307,"PI",1.28571428571429,3,1.64679507838326,1.6655555554943
"18",2.04009821755943,1.78912534706604,2.02834162948513,1.80088193514034,1.69695032199204,0.00436738032900804,"PI",1.57142857142857,3,1.68839025654718,1.7055103874369
"19",2.04910266888065,1.78634557875112,2.03786073720773,1.79758751042404,1.72750078481404,0.0040118742313786,"PI",1.85714285714286,3,1.71963751132053,1.73536405830754
"20",2.07720113396459,1.80079191352733,2.06637031582228,1.81162273166965,1.75200000839534,0.00326539742287699,"PI",2.14285714285714,3,1.7455998294465,1.75840018734417
"21",2.07659045550904,1.78194731088825,2.0671062112024,1.7914315551949,1.76907517789227,0.00312509142829456,"PI",2.42857142857143,3,1.76294999869281,1.77520035709172
"22",2.11260402941635,1.79427292396679,2.10354666256413,1.80333029081901,1.7852398102205,0.00335326964505959,"PI",2.71428571428571,3,1.77866740171618,1.79181221872481
"23",2.13392298616256,1.76009209138112,2.13042730163285,1.76358777591083,1.79698320221345,0.00289923920771009,"PI",3,3,1.79130069336634,1.80266571106057
"24",2.13851223028846,1.73888692879083,2.13671676650872,1.74068239257058,1.80718230672798,0.00272746347159395,"PI",3.28571428571429,3,1.80183647832366,1.81252813513231
"25",2.21123040721433,1.72857457981336,2.21555657015957,1.72424841686812,1.81512825321567,0.00304510377279712,"PI",3.57142857142857,3,1.80915984982098,1.82109665661035
"26",2.23872949274573,1.68734135750903,2.25511397459949,1.67095687565527,1.82168477343337,0.00262082626958565,"PI",3.85714285714286,3,1.81654795394498,1.82682159292176
"27",2.26498392575067,1.59023304846632,2.29045094006276,1.56476603415424,1.82745452627064,0.00274111860509134,"PI",4.14285714285714,3,1.82208193380466,1.83282711873662
"28",2.33104993994565,1.63268256417198,2.35645314833464,1.60727935578299,1.83181027513096,0.00234046356470006,"PI",4.42857142857143,3,1.82722296654415,1.83639758371778
"29",2.30772232124583,1.57945767874094,2.33627603257237,1.5509039674144,1.83566930373115,0.00197390324496353,"PI",4.71428571428571,3,1.83180045337102,1.83953815409127
"30",2.35009172672319,1.51504446292062,2.40058229313975,1.46455389650407,1.83853925155857,0.00217028987801881,"PI",5,3,1.83428548339765,1.84279301971949
"31",2.0290440612842,1.76651595978703,2.01823548450393,1.77732453656729,1.42400465052842,0.00749322054055236,"PI",1,4,1.40931793826894,1.4386913627879
"32",2.04972906249991,1.78671980019666,2.03844316973907,1.7980056929575,1.48312542464339,0.00721328811082981,"PI",1.28571428571429,4,1.46898737994616,1.49726346934062
"33",2.06154896928856,1.79433797043873,2.05044005623236,1.80544688349494,1.52933103704752,0.00572179383655373,"PI",1.57142857142857,4,1.51811632112788,1.54054575296717
"34",2.07335899230187,1.7982260667227,2.06274716516665,1.80883789385791,1.56634625541087,0.00687529230438569,"PI",1.85714285714286,4,1.55287068249427,1.57982182832746
"35",2.0930603249351,1.80211627740722,2.08343419206523,1.81174241027709,1.59603265718107,0.00581638733436837,"PI",2.14285714285714,4,1.58463253800571,1.60743277635643
"36",2.10457616077806,1.79891384340231,2.09510019327166,1.80838981090871,1.62131297544405,0.00576454405952946,"PI",2.42857142857143,4,1.61001446908737,1.63261148180073
"37",2.13687529945235,1.79928159814977,2.12899771881112,1.80715917879101,1.64100538769661,0.00536187462018221,"PI",2.71428571428571,4,1.63049611344106,1.65151466195217
"38",2.1337093522294,1.76228097862125,2.12717345758502,1.76881687326563,1.65844514199764,0.00431336047474412,"PI",3,4,1.64999095546715,1.66689932852814
"39",2.17018053538822,1.76411329080698,2.16571180794335,1.76858201825185,1.67164576292499,0.00466991156958556,"PI",3.28571428571429,4,1.6624927362486,1.68079878960137
"40",2.19379940491478,1.72150541959423,2.19180202740341,1.7235027971056,1.68312274715155,0.00450085232876484,"PI",3.57142857142857,4,1.67430107658717,1.69194441771593
"41",2.22945266005713,1.70842113266775,2.22997294729845,1.70790084542644,1.69290917365387,0.00409574183376964,"PI",3.85714285714286,4,1.68488151965969,1.70093682764806
"42",2.25638050278672,1.58385293543213,2.29433548702909,1.54589795118976,1.70116963881297,0.0039822158733822,"PI",4.14285714285714,4,1.69336449570114,1.7089747819248
"43",2.35250848717554,1.62041236383048,2.38659873479113,1.58632211621489,1.70821892017647,0.00384032640346013,"PI",4.42857142857143,4,1.70069188042569,1.71574595992726
"44",2.40578950947361,1.59126907301073,2.44128183090378,1.55577675158055,1.71324562380496,0.00360878396105464,"PI",4.71428571428571,4,1.70617240724129,1.72031884036863
"45",2.52284342172028,1.50553658062828,2.60513785842968,1.42324214391889,1.71870294948214,0.00377782560396449,"PI",5,4,1.71129841129837,1.72610748766591
"46",2.48398969808119,2.09553493930443,2.47325165297272,2.1062729844129,1.26611015719073,0.00846266899323405,"PI",1,6,1.24952332596399,1.28269698841747
"47",2.41941773621206,2.05932895826409,2.40867732748128,2.07006936699487,1.31449280770305,0.00927760982682888,"PI",1.28571428571429,6,1.29630869244246,1.33267692296363
"48",2.37429354029686,2.02398384736908,2.36346833278841,2.03480905487754,1.35356852099383,0.00730252639790865,"PI",1.57142857142857,6,1.33925556925393,1.36788147273373
"49",2.36921765879855,2.02030103861572,2.35874585194738,2.0307728454669,1.39134759883365,0.00754683213785191,"PI",1.85714285714286,6,1.37655580784346,1.40613938982384
"50",2.35377410431667,1.98724087373083,2.34395345285943,1.99706152518807,1.42012256062847,0.00700870189185842,"PI",2.14285714285714,6,1.40638550492043,1.43385961633652
"51",2.35893646913987,1.97299015321655,2.34973327628346,1.98219334607296,1.44628622412461,0.00730803051153661,"PI",2.42857142857143,6,1.431962484322,1.46060996392722
"52",2.3571604281914,1.94368571329929,2.34971929849548,1.95112684299522,1.46649891990886,0.0065466104340281,"PI",2.71428571428571,6,1.45366756345817,1.47933027635956
"53",2.35707623754781,1.90833579376507,2.35220474975444,1.91320728155845,1.48650809057627,0.00554235555427918,"PI",3,6,1.47564507368988,1.49737110746265
"54",2.37104401889244,1.86391950413178,2.36901014205622,1.865953380968,1.50085862952024,0.00651605385778889,"PI",3.28571428571429,6,1.48808716395898,1.51363009508151
"55",2.38586136495928,1.83116772458104,2.38450702022451,1.83252206931581,1.51426822716089,0.00590824670288986,"PI",3.57142857142857,6,1.50268806362323,1.52584839069855
"56",2.42475374923157,1.7973479605749,2.42987525011,1.79222645969648,1.52428549923094,0.00563376985190494,"PI",3.85714285714286,6,1.51324331032121,1.53532768814068
"57",2.48227596597067,1.74872496860475,2.50137344782824,1.72962748674719,1.53505760806194,0.00560743351971906,"PI",4.14285714285714,6,1.52406703836329,1.54604817776059
"58",2.52391308740518,1.71674728770331,2.54621392795159,1.6944464471569,1.54393538032561,0.00586229117565666,"PI",4.42857142857143,6,1.53244528962133,1.5554254710299
"59",2.62836548208152,1.65431038749318,2.6634191599853,1.6192567095894,1.54966200135569,0.00483025419785851,"PI",4.71428571428571,6,1.54019470312789,1.55912929958349
"60",2.71681180936041,1.5072387952913,2.79494699376539,1.42910361088632,1.55621069266688,0.00522998329597023,"PI",5,6,1.54595992540678,1.56646145992699
"61",2.07540053335332,1.83631602858326,2.06238328574568,1.8493332761909,1.95585828096829,0.0521960910856584,"IF",1,2,1.8535539424404,2.05816261949618
"62",2.08262375749485,1.83914907064269,2.06973214715104,1.8520406809865,1.96088641406877,0.0536839895136265,"IF",1.28571428571429,2,1.85566579462206,2.06610703351548
"63",2.10672334573194,1.85597854966528,2.09419039629114,1.86851149910607,1.98135094769861,0.0556197763879131,"IF",1.57142857142857,2,1.8723361859783,2.09036570941892
"64",2.11317051550371,1.85377106842355,2.10110439051132,1.86583719341593,1.98347079196363,0.0600392629553706,"IF",1.85714285714286,2,1.8657938365711,2.10114774735616
"65",2.11551786228262,1.84106316519577,2.10394466882575,1.85263635865264,1.97829051373919,0.0515839720843993,"IF",2.14285714285714,2,1.87718592845377,2.07939509902462
"66",2.13341622297113,1.83700262013293,2.12356218444594,1.84685665865812,1.98520942155203,0.0633995641023083,"IF",2.42857142857143,2,1.8609462759115,2.10947256719255
"67",2.13087561601212,1.81769994818058,2.12171199495618,1.82686356923652,1.97428778209635,0.0768069543609019,"IF",2.71428571428571,2,1.82374615154898,2.12482941264372
"68",2.15564259252599,1.80826256011903,2.14833212363265,1.81557302901238,1.98195257632251,0.0705502782724506,"IF",3,2,1.84367403090851,2.12023112173652
"69",2.19666926617125,1.80265801303074,2.193475402877,1.80585187632499,1.99966363960099,0.102682492011806,"IF",3.28571428571429,2,1.79840595525786,2.20092132394413
"70",2.1950908751938,1.74439545692589,2.19608297116622,1.74340336095347,1.96974316605984,0.136969798361523,"IF",3.57142857142857,2,1.70128236127126,2.23820397084843
"71",2.22824704753483,1.7419739977338,2.23228830613545,1.73793273913318,1.98511052263432,0.148365752603025,"IF",3.85714285714286,2,1.69431364753239,2.27590739773625
"72",2.27282961331916,1.68317337259201,2.28797352860037,1.6680294573108,1.97800149295559,0.197897954448953,"IF",4.14285714285714,2,1.59012150223564,2.36588148367553
"73",2.3274932775874,1.62587137779604,2.36783771278846,1.58552694259498,1.97668232769172,0.242865267298891,"IF",4.42857142857143,2,1.50066640378589,2.45269825159754
"74",2.40033660942342,1.54775907174619,2.46450240238503,1.48359327878457,1.9740478405848,0.361697509850364,"IF",4.71428571428571,2,1.26512072127809,2.68297495989152
"75",2.42895823166685,1.46793223492199,2.52095106285224,1.3759394037366,1.94844523329442,0.449038553341196,"IF",5,2,1.06832966874568,2.82856079784316
"76",2.00524807245561,1.76373371928826,1.99343231132366,1.77554948042021,1.88449089587193,0.05454322808133,"IF",1,3,1.77758616883253,1.99139562291134
"77",2.02044224332475,1.77421433487015,2.00870424719387,1.78595233100103,1.89732828909745,0.0494806879605929,"IF",1.28571428571429,3,1.80034614069469,1.99431043750021
"78",2.04009821755943,1.78912534706604,2.02834162948513,1.80088193514034,1.91461178231273,0.0499293472826147,"IF",1.57142857142857,3,1.81675026163881,2.01247330298666
"79",2.04910266888065,1.78634557875112,2.03786073720773,1.79758751042404,1.91772412381589,0.0567393803023837,"IF",1.85714285714286,3,1.80651493842321,2.02893330920856
"80",2.07720113396459,1.80079191352733,2.06637031582228,1.81162273166965,1.93899652374596,0.0588857036406141,"IF",2.14285714285714,3,1.82358054461036,2.05441250288157
"81",2.07659045550904,1.78194731088825,2.0671062112024,1.7914315551949,1.92926888319865,0.0662935767051669,"IF",2.42857142857143,3,1.79933347285652,2.05920429354077
"82",2.11260402941635,1.79427292396679,2.10354666256413,1.80333029081901,1.95343847669157,0.070135583660778,"IF",2.71428571428571,3,1.81597273271644,2.09090422066669
"83",2.13392298616256,1.76009209138112,2.13042730163285,1.76358777591083,1.94700753877184,0.0906110159199146,"IF",3,3,1.7694099475688,2.12460512997487
"84",2.13851223028846,1.73888692879083,2.13671676650872,1.74068239257058,1.93869957953965,0.089988013698559,"IF",3.28571428571429,3,1.76232307269047,2.11507608638882
"85",2.21123040721433,1.72857457981336,2.21555657015957,1.72424841686812,1.96990249351384,0.135767749857011,"IF",3.57142857142857,3,1.7037977037941,2.23600728323359
"86",2.23872949274573,1.68734135750903,2.25511397459949,1.67095687565527,1.96303542512738,0.197210811521347,"IF",3.85714285714286,3,1.57650223454554,2.34956861570922
"87",2.26498392575067,1.59023304846632,2.29045094006276,1.56476603415424,1.9276084871085,0.197926067111106,"IF",4.14285714285714,3,1.53967339557073,2.31554357864627
"88",2.33104993994565,1.63268256417198,2.35645314833464,1.60727935578299,1.98186625205881,0.183845724349422,"IF",4.42857142857143,3,1.62152863233394,2.34220387178368
"89",2.30772232124583,1.57945767874094,2.33627603257237,1.5509039674144,1.94358999999339,0.217562835197291,"IF",4.71428571428571,3,1.51716684300669,2.37001315698008
"90",2.35009172672319,1.51504446292062,2.40058229313975,1.46455389650407,1.93256809482191,0.298244761336692,"IF",5,3,1.34800836260199,2.51712782704182
"91",2.0290440612842,1.76651595978703,2.01823548450393,1.77732453656729,1.89778001053561,0.0446288532618119,"IF",1,4,1.81030745814246,1.98525256292876
"92",2.04972906249991,1.78671980019666,2.03844316973907,1.7980056929575,1.91822443134829,0.0533453702985742,"IF",1.28571428571429,4,1.81366750556308,2.02278135713349
"93",2.06154896928856,1.79433797043873,2.05044005623236,1.80544688349494,1.92794346986365,0.0509775051600311,"IF",1.57142857142857,4,1.82802755974999,2.02785937997731
"94",2.07335899230187,1.7982260667227,2.06274716516665,1.80883789385791,1.93579252951228,0.0619613905064439,"IF",1.85714285714286,4,1.81434820411965,2.05723685490491
"95",2.0930603249351,1.80211627740722,2.08343419206523,1.81174241027709,1.94758830117116,0.0584261123756374,"IF",2.14285714285714,4,1.83307312091491,2.06210348142741
"96",2.10457616077806,1.79891384340231,2.09510019327166,1.80838981090871,1.95174500209018,0.0631266231932602,"IF",2.42857142857143,4,1.82801682063139,2.07547318354897
"97",2.13687529945235,1.79928159814977,2.12899771881112,1.80715917879101,1.96807844880106,0.0728135955651767,"IF",2.71428571428571,4,1.82536380149332,2.11079309610881
"98",2.1337093522294,1.76228097862125,2.12717345758502,1.76881687326563,1.94799516542533,0.0696275208279329,"IF",3,4,1.81152522460258,2.08446510624807
"99",2.17018053538822,1.76411329080698,2.16571180794335,1.76858201825185,1.9671469130976,0.0844356026904089,"IF",3.28571428571429,4,1.8016531318244,2.1326406943708
"100",2.19379940491478,1.72150541959423,2.19180202740341,1.7235027971056,1.95765241225451,0.117275347674568,"IF",3.57142857142857,4,1.72779273081235,2.18751209369666
"101",2.22945266005713,1.70842113266775,2.22997294729845,1.70790084542644,1.96893689636244,0.119796150032377,"IF",3.85714285714286,4,1.73413644229898,2.2037373504259
"102",2.25638050278672,1.58385293543213,2.29433548702909,1.54589795118976,1.92011671910943,0.243980151508958,"IF",4.14285714285714,4,1.44191562215187,2.39831781606698
"103",2.35250848717554,1.62041236383048,2.38659873479113,1.58632211621489,1.98646042550301,0.228429867774557,"IF",4.42857142857143,4,1.53873788466487,2.43418296634114
"104",2.40578950947361,1.59126907301073,2.44128183090378,1.55577675158055,1.99852929124217,0.243896923707796,"IF",4.71428571428571,4,1.52049132077489,2.47656726170945
"105",2.52284342172028,1.50553658062828,2.60513785842968,1.42324214391889,2.01419000117428,0.353069863909163,"IF",5,4,1.32217306791232,2.70620693443624
"106",2.48398969808119,2.09553493930443,2.47325165297272,2.1062729844129,2.28976231869281,0.0691158045850843,"IF",1,6,2.15429534170604,2.42522929567957
"107",2.41941773621206,2.05932895826409,2.40867732748128,2.07006936699487,2.23937334723807,0.059907847218818,"IF",1.28571428571429,6,2.12195396668919,2.35679272778696
"108",2.37429354029686,2.02398384736908,2.36346833278841,2.03480905487754,2.19913869383297,0.0596746854056386,"IF",1.57142857142857,6,2.08217631043792,2.31610107722802
"109",2.36921765879855,2.02030103861572,2.35874585194738,2.0307728454669,2.19475934870714,0.0669315119678774,"IF",1.85714285714286,6,2.0635735852501,2.32594511216418
"110",2.35377410431667,1.98724087373083,2.34395345285943,1.99706152518807,2.17050748902375,0.0832475970971282,"IF",2.14285714285714,6,2.00734219871338,2.33367277933412
"111",2.35893646913987,1.97299015321655,2.34973327628346,1.98219334607296,2.16596331117821,0.0790947878636047,"IF",2.42857142857143,6,2.01093752696555,2.32098909539088
"112",2.3571604281914,1.94368571329929,2.34971929849548,1.95112684299522,2.15042307074535,0.0957255349692191,"IF",2.71428571428571,6,1.96280102220568,2.33804511928502
"113",2.35707623754781,1.90833579376507,2.35220474975444,1.91320728155845,2.13270601565644,0.080499389143493,"IF",3,6,1.97492721293519,2.29048481837769
"114",2.37104401889244,1.86391950413178,2.36901014205622,1.865953380968,2.11748176151211,0.110191745239538,"IF",3.28571428571429,6,1.90150594084262,2.33345758218161
"115",2.38586136495928,1.83116772458104,2.38450702022451,1.83252206931581,2.10851454477016,0.123744572898112,"IF",3.57142857142857,6,1.86597518188986,2.35105390765046
"116",2.42475374923157,1.7973479605749,2.42987525011,1.79222645969648,2.11105085490324,0.148266975996772,"IF",3.85714285714286,6,1.82044758194956,2.40165412785691
"117",2.48227596597067,1.74872496860475,2.50137344782824,1.72962748674719,2.11550046728771,0.198190275590524,"IF",4.14285714285714,6,1.72704752713029,2.50395340744514
"118",2.52391308740518,1.71674728770331,2.54621392795159,1.6944464471569,2.12033018755425,0.221322744681483,"IF",4.42857142857143,6,1.68653760797854,2.55412276712995
"119",2.62836548208152,1.65431038749318,2.6634191599853,1.6192567095894,2.14133793478735,0.29509112227329,"IF",4.71428571428571,6,1.5629593351317,2.719716534443
"120",2.71681180936041,1.5072387952913,2.79494699376539,1.42910361088632,2.11202530232585,0.457750451417119,"IF",5,6,1.2148344175483,3.00921618710341
